path,title,type,entity_subtype,source_type,date,status,has_raw_source,ingest_version,description
SU(2)对称性下浴自旋成为更高总角动量SU(2)自旋,SU(2)对称性下浴自旋成为更高总角动量SU(2)自旋,entity,proposition,,,current,0,0,
SU(2)对称性投影纠缠对态,SU(2)对称性投影纠缠对态,entity,keyword,,,current,0,0,
SVD,奇异值分解singular value decomposition(SVD),entity,keyword,,,current,0,0,
SVM,支持向量机support vector machine(SVM),entity,keyword,,,current,0,0,
SWAP,多比特SWAP线路multi-qubit SWAP circuit,entity,keyword,,,current,0,0,
SchNet,SchNet,entity,keyword,,,current,0,0,
Schmidt,正定矩阵乘积态编码Schmidt系数,entity,keyword,,,current,0,0,
Schmidt分解,Schmidt分解,entity,keyword,,,current,0,0,
Schmidt系数,Schmidt系数,entity,keyword,,,current,0,0,
SciPost Phys,SciPost Phys. Core,entity,keyword,,,current,0,0,
Shao-Ming Fei,Shao-Ming Fei,entity,person,,,current,0,0,
Sheng-Chen Bai,Sheng-Chen Bai,entity,person,,,current,0,0,
Shi Ju Ran,Shi Ju Ran,entity,person,,,current,0,0,
Shi-Ju Ran,Shi-Ju Ran,entity,person,,,current,0,0,
Shou-Shu Gong,Shou-Shu Gong,entity,person,,,current,0,0,
Shuo Qi,Shuo Qi,entity,person,,,current,0,0,
Shuo Yang,Shuo Yang,entity,person,,,current,0,0,
Sierpi,Sierpiński gasket,entity,keyword,,,current,0,0,
Slater行列式,Slater行列式,entity,keyword,,,current,0,0,
Song Gao,Song Gao,entity,person,,,current,0,0,
TFIM,横向场伊辛模型transverse field Ising model(TFIM),entity,keyword,,,current,0,0,
TH,边界调谐Hamiltoniantuning Hamiltonian(TH),entity,keyword,,,current,0,0,
TIT,三角化点阵triangulated lattice(TIT),entity,keyword,,,current,0,0,
TLCC,横向光锥收缩transverse light cone contraction(TLCC),entity,keyword,,,current,0,0,
TNCS,张量网络压缩感知tensor network compressed sensing(TNCS),entity,keyword,,,current,0,0,
TNS,张量网络态tensor network state(TNS),entity,keyword,,,current,0,0,
TPDO,张量乘积密度算符tensor product density operator(TPDO),entity,keyword,,,current,0,0,
TRD,张量环分解tensor ring decomposition(TRD),entity,keyword,,,current,0,0,
TRG,张量重正化群tensor renormalization group(TRG),entity,keyword,,,current,0,0,
TSGO,切空间梯度优化tangent-space gradient optimization(TSGO),entity,keyword,,,current,0,0,
TT,张量训练tensor train(TT),entity,keyword,,,current,0,0,
TTD,张量列分解tensor-train decomposition(TTD),entity,keyword,,,current,0,0,
TTN,树张量网络tree tensor network(TTN),entity,keyword,,,current,0,0,
TVBC,自旋-1三聚化价键晶体trimerized valence bond crystal(TVBC),entity,keyword,,,current,0,0,
Tao Liu,Tao Liu,entity,person,,,current,0,0,
Trotter-Suzuki分解误差受虚时间片限制,Trotter-Suzuki分解误差受虚时间片限制,entity,proposition,,,current,0,0,
Trotter误差量级随虚时间步长的平方增长,Trotter误差量级随虚时间步长的平方增长,entity,proposition,,,current,0,0,
Tucker分解,Tucker分解,entity,keyword,,,current,0,0,
VBC,价键晶体valence bond crystal(VBC),entity,keyword,,,current,0,0,
VCB,虚拟配置二值化virtual configuration binarization(VCB),entity,keyword,,,current,0,0,
VGG-16,VGG-16,entity,keyword,,,current,0,0,
VQC,变分量子电路variational quantum circuit(VQC),entity,keyword,,,current,0,0,
Wei Li,Wei Li,entity,person,,,current,0,0,
Wei Yi,Wei Yi,entity,person,,,current,0,0,
Wei-Ming Li,Wei-Ming Li,entity,person,,,current,0,0,
Wen-Jun Li,Wen-Jun Li,entity,person,,,current,0,0,
Wenbo Qiao,Wenbo Qiao,entity,person,,,current,0,0,
Wilson比Wilson ratio,Wilson比Wilson ratio,entity,proposition,,,current,0,0,
XXZ,强梯度非遍历区行为与均匀可积XXZ链不同,entity,keyword,,,current,0,0,
XY链XY chain,XY链XY chain,entity,keyword,,,current,0,0,
XY链基态,XY链基态,entity,keyword,,,current,0,0,
Xi Chen,Xi Chen,entity,person,,,current,0,0,
Xiao Zhang,Xiao Zhang,entity,person,,,current,0,0,
Xiao-Han Wang,Xiao-Han Wang,entity,person,,,current,0,0,
Xin Yan,Xin Yan,entity,person,,,current,0,0,
Xinran Ma,Xinran Ma,entity,person,,,current,0,0,
Ya-Xuan Xiao,Ya-Xuan Xiao,entity,person,,,current,0,0,
Yang Zhao,Yang Zhao,entity,person,,,current,0,0,
Ye-Ming Meng,Ye-Ming Meng,entity,person,,,current,0,0,
Yi-Cheng Tang,Yi-Cheng Tang,entity,person,,,current,0,0,
Yi-Zhen Huang,Yi-Zhen Huang,entity,person,,,current,0,0,
Ying Lu,Ying Lu,entity,person,,,current,0,0,
Yong Qing,Yong Qing,entity,person,,,current,0,0,
Yuan Yang,Yuan Yang,entity,person,,,current,0,0,
Yuan-Yuan Zhu,Yuan-Yuan Zhu,entity,person,,,current,0,0,
Yue-Min Li,Yue-Min Li,entity,person,,,current,0,0,
Yuhan Liu,Yuhan Liu,entity,person,,,current,0,0,
Z. C. Tu,Z. C. Tu,entity,person,,,current,0,0,
ZFnet,ZFnet,entity,keyword,,,current,0,0,
Z_N内禀拓扑态,Z_N内禀拓扑态,entity,keyword,,,current,0,0,
Z_N拓扑序,Z_N拓扑序,entity,keyword,,,current,0,0,
Zeno Schätzle,Zeno Schätzle,entity,person,,,current,0,0,
Zhe Zhang,Zhe Zhang,entity,person,,,current,0,0,
Zheng-Zhi Sun,Zheng-Zhi Sun,entity,person,,,current,0,0,
Zhengchuan Wang,Zhengchuan Wang,entity,person,,,current,0,0,
academic/raw/references/D001-2010-distorted-kagome/paper,Phase transitions and thermodynamics of the two-dimensional Ising model on a distorted kagome lattice,raw,,official-doc,2010,current,0,0,raw-not-distributed/D001-2010-distorted-kagome/paper.md
academic/raw/references/D002-2010-ltrg/paper,Linearized Tensor Renormalization Group Algorithm for the Calculation of Thermodynamic Properties of Quantum Lattice Models,raw,,official-doc,2011,current,0,0,raw-not-distributed/D002-2010-ltrg/paper.md
academic/raw/references/D003-2012-spin-1-chain-闫/paper,"Phase diagrams, distinct conformal anomalies, and thermodynamics of spin-1 bond-alternating Heisenberg antiferromagnetic chain in magnetic fields",raw,,official-doc,2012,current,0,0,raw-not-distributed/D003-2012-spin-1-chain-闫/paper.md
academic/raw/references/D004-2012-odtns/paper,Optimized decimation of tensor networks with super-orthogonalization for two-dimensional quantum lattice models,raw,,official-doc,2012,current,0,0,raw-not-distributed/D004-2012-odtns/paper.md
academic/raw/references/D005-2014-zhaoyanghoneycombladder/paper,Honeycomb Heisenberg spin ladder: Unusual ground state and thermodynamic properties,raw,,official-doc,2013,current,0,0,raw-not-distributed/D005-2014-zhaoyanghoneycombladder/paper.md
academic/raw/references/D006-2013-ncd-physrevb88064407/paper,Theory of network contractor dynamics for exploring thermodynamic properties of two-dimensional quantum lattice models,raw,,official-doc,2013,current,0,0,raw-not-distributed/D006-2013-ncd-physrevb88064407/paper.md
academic/raw/references/D007-2013-kt-phase/paper,Kosterlitz-Thouless phase transition and re-entrance in an anisotropic three-state Potts model on the generalized kagome lattice,raw,,official-doc,2013,current,0,0,raw-not-distributed/D007-2013-kt-phase/paper.md
academic/raw/references/D008-2014-husimi/paper,"Featureless quantum spin liquid, 1-magnetization plateau state, and exotic thermodynamic properties of the spin-1 frustrated Heisenberg antiferromagnet on an infinite Husimi lattice",raw,,official-doc,2014,current,0,0,raw-not-distributed/D008-2014-husimi/paper.md
academic/raw/references/D009-2016-aop-physreve93053310/paper,Ab initio optimization principle for the ground states of translationally invariant strongly correlated quantum lattice models,raw,,official-doc,2016,current,0,0,raw-not-distributed/D009-2016-aop-physreve93053310/paper.md
academic/raw/references/D010-2015-sierpinskie2015-60745-5/paper,Phase diagram and exotic spin-spin correlations of anisotropic Ising model on the Sierpi´nski gasket,raw,,official-doc,2016,current,0,0,raw-not-distributed/D010-2015-sierpinskie2015-60745-5/paper.md
academic/raw/references/D011-2017-ptdmrgphysrevb95064110/paper,Efficient perturbation theory to improve the density matrix renormalization group,raw,,official-doc,2017,current,0,0,raw-not-distributed/D011-2017-ptdmrgphysrevb95064110/paper.md
academic/raw/references/D012-2017-octa-kagome/paper,Fermionic algebraic quantum spin liquid in an octa-kagome frustrated antiferromagnet,raw,,official-doc,2017,current,0,0,raw-not-distributed/D012-2017-octa-kagome/paper.md
academic/raw/references/D013-2017-criticality-tn-2d/paper,Criticality in two-dimensional quantum systems: Tensor network approach,raw,,official-doc,2017,current,0,0,raw-not-distributed/D013-2017-criticality-tn-2d/paper.md
academic/raw/references/D014-2017-fewbody-qes-ground-states/paper,Few-body systems capture many-body physics: Tensor network approach,raw,,official-doc,2017,current,0,0,raw-not-distributed/D014-2017-fewbody-qes-ground-states/paper.md
academic/raw/references/D015-2017-cruezphysrevx7031057/paper,Exploring Interacting Topological Insulators with Ultracold Atoms: The Synthetic Creutz-Hubbard Model,raw,,official-doc,2017,current,0,0,raw-not-distributed/D015-2017-cruezphysrevx7031057/paper.md
academic/raw/references/D016-2018-kagome-chenxi/paper,Thermodynamics of spin-1/2 Kagomé Heisenberg antiferromagnet: algebraic paramagnetic liquid and finite-temperature phase diagram,raw,,official-doc,2018,current,0,0,raw-not-distributed/D016-2018-kagome-chenxi/paper.md
academic/raw/references/D017-2018-emergent-spin-1-trimerized-valence-bond-crystal/paper,Emergent spin-1 trimerized valence bond crystal in the spin- <sup>1</sup> Heisenberg model on the star lattice,raw,,official-doc,2018,current,0,0,raw-not-distributed/D017-2018-emergent-spin-1-trimerized-valence-bond-crystal/paper.md
academic/raw/references/D018-2018-csw-physrevb98085111/paper,Controlling the phase diagram of finite spin-$\frac{1}{2}$ chains by tuning the boundary interactions,raw,,official-doc,2018,current,0,0,raw-not-distributed/D018-2018-csw-physrevb98085111/paper.md
academic/raw/references/D019-2018-pc-epjb/paper,Exotic entanglement scaling of Heisenberg antiferromagnet on honeycomb lattice,raw,,official-doc,2018,current,0,0,raw-not-distributed/D019-2018-pc-epjb/paper.md
academic/raw/references/D020-2018-091彭程/paper,时间矩阵乘积态理论及其应用,raw,,official-doc,2019,current,0,0,raw-not-distributed/D020-2018-091彭程/paper.md
academic/raw/references/D021-2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure/paper,Machine learning by unitary tensor network of hierarchical tree structure,raw,,official-doc,2019,current,0,0,raw-not-distributed/D021-2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure/paper.md
academic/raw/references/D022-2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states/paper,Noise-tolerant signature of Z<sub>N</sub> topological order in quantum many-body states,raw,,official-doc,2019,current,0,0,raw-not-distributed/D022-2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states/paper.md
academic/raw/references/D023-2019-finite-temperature-qes/paper,Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitrary dimensions,raw,,official-doc,2019,current,0,0,raw-not-distributed/D023-2019-finite-temperature-qes/paper.md
academic/raw/references/D024-2020-paulinets-hermann/paper,Deep-neural-network solution of the electronic Schrödinger equation,raw,,official-doc,2020,current,0,0,raw-not-distributed/D024-2020-paulinets-hermann/paper.md
academic/raw/references/D025-2020-mps_deep_encoding_circuit/paper,Encoding of matrix product states into quantum circuits of one- and two-qubit gates,raw,,official-doc,2020,current,0,0,raw-not-distributed/D025-2020-mps_deep_encoding_circuit/paper.md
academic/raw/references/D026-2020-sawtooth/paper,Reentrance of the topological phase in a spin-1 frustrated Heisenberg chain,raw,,official-doc,2020,current,0,0,raw-not-distributed/D026-2020-sawtooth/paper.md
academic/raw/references/D027-2020-gtnc/paper,Generative tensor network classification model for supervised machine learning,raw,,official-doc,2020,current,0,0,raw-not-distributed/D027-2020-gtnc/paper.md
academic/raw/references/D028-2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning/paper,Tangent-space gradient optimization of tensor network for machine learning,raw,,official-doc,2020,current,0,0,raw-not-distributed/D028-2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning/paper.md
academic/raw/references/D029-2020-tncs-physrevresearch2033293/paper,Tensor network compressed sensing with unsupervised machine learning,raw,,official-doc,2020,current,0,0,raw-not-distributed/D029-2020-tncs-physrevresearch2033293/paper.md
academic/raw/references/D030-2021-qubismnet/paper,Deep Learning Quantum States for Hamiltonian Estimation,raw,,official-doc,2021,current,0,0,raw-not-distributed/D030-2021-qubismnet/paper.md
academic/raw/references/D031-2021-adqc/paper,Automatically differentiable quantum circuit for many-qubit state preparation,raw,,official-doc,2021,current,0,0,raw-not-distributed/D031-2021-adqc/paper.md
academic/raw/references/D032-2021-卢迎fgto/paper,Preparation of many-body ground states by time evolution with variational microscopic magnetic fields and incomplete interactions,raw,,official-doc,2021,current,0,0,raw-not-distributed/D032-2021-卢迎fgto/paper.md
academic/raw/references/D033-2021-quantum-phase-visualization/paper,Visualizing quantum phases and identifying quantum phase transitions by nonlinear dimensional reduction,raw,,official-doc,2021,current,0,0,raw-not-distributed/D033-2021-quantum-phase-visualization/paper.md
academic/raw/references/D034-2021-virtual-configuration-binarization/paper,Phase identification in many-body systems by virtual configuration binarization,raw,,official-doc,2021,current,0,0,raw-not-distributed/D034-2021-virtual-configuration-binarization/paper.md
academic/raw/references/D035-2021-光量子分类器/paper,Experimental realization of a quantum image classifier via tensor-network-based machine learning,raw,,official-doc,2021,current,0,0,raw-not-distributed/D035-2021-光量子分类器/paper.md
academic/raw/references/D036-2021-mpnn/paper,Predicting quantum potentials by deep neural network and metropolis sampling,raw,,official-doc,2021,current,0,0,raw-not-distributed/D036-2021-mpnn/paper.md
academic/raw/references/D037-2021-entanglement-feature-extraction/paper,Entanglement-Based Feature Extraction by Tensor Network Machine Learning,raw,,official-doc,2021,current,0,0,raw-not-distributed/D037-2021-entanglement-feature-extraction/paper.md
academic/raw/references/D038-2022-cpl-tn特征选择-白生成/paper,Unsupervised Recognition of Informative Features via Tensor Network Machine Learning and Quantum Entanglement Variations,raw,,official-doc,2022,current,0,0,raw-not-distributed/D038-2022-cpl-tn特征选择-白生成/paper.md
academic/raw/references/D039-2022-tn-tailoring-王顶族/paper,Efficient simulation of quantum many-body thermodynamics by tailoring a zero-temperature tensor network,raw,,official-doc,2022,current,0,0,raw-not-distributed/D039-2022-tn-tailoring-王顶族/paper.md
academic/raw/references/D040-2022-functional-mps-洪瑞/paper,Functional tensor network solving many-body Schrödinger equation,raw,,official-doc,2022,current,0,0,raw-not-distributed/D040-2022-functional-mps-洪瑞/paper.md
