trial_id,task,hub_id,true_position,true_papers,control_papers
M-H16-02,membership,academic/wiki/hubs/量子与变分蒙特卡洛方法,B,D013,D010
M-H16-03,membership,academic/wiki/hubs/量子与变分蒙特卡洛方法,A,D024,D036
M-H16-04,membership,academic/wiki/hubs/量子与变分蒙特卡洛方法,B,D005,D019
S-H16,set_coherence,academic/wiki/hubs/量子与变分蒙特卡洛方法,A,D004;D013;D024,D008;D010;D036
M-H17-01,membership,academic/wiki/hubs/量子格点模型的晶格几何,A,D014,D017
M-H17-02,membership,academic/wiki/hubs/量子格点模型的晶格几何,A,D023,D022
M-H17-03,membership,academic/wiki/hubs/量子格点模型的晶格几何,A,D019,D007
S-H17,set_coherence,academic/wiki/hubs/量子格点模型的晶格几何,B,D014;D023;D019,D017;D022;D007
M-H18-01,membership,academic/wiki/hubs/量子自旋模型与自旋液体,A,D014,D013
M-H18-02,membership,academic/wiki/hubs/量子自旋模型与自旋液体,A,D012,D001
M-H18-03,membership,academic/wiki/hubs/量子自旋模型与自旋液体,A,D030,D028
S-H18,set_coherence,academic/wiki/hubs/量子自旋模型与自旋液体,B,D014;D012;D030,D013;D001;D028
