step,year,hub_id,hub_label,member_count,supporting_paper_count
24,2020,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,7
24,2020,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
24,2020,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
24,2020,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
24,2020,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
24,2020,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
24,2020,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
25,2020,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,15
25,2020,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,7
25,2020,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
25,2020,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
25,2020,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
25,2020,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
25,2020,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
25,2020,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
26,2020,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,15
26,2020,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,7
26,2020,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
26,2020,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
26,2020,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
26,2020,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
26,2020,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
26,2020,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
27,2020,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,16
27,2020,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
27,2020,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
27,2020,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
27,2020,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
27,2020,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
27,2020,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
27,2020,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
28,2020,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,17
28,2020,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
28,2020,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
28,2020,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
28,2020,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
28,2020,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
28,2020,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
28,2020,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
29,2020,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,18
29,2020,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
29,2020,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,6
29,2020,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
29,2020,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
29,2020,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
29,2020,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
29,2020,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
30,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,18
30,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
30,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,7
30,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
30,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
30,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
30,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
30,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,4,6
30,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,1,1
30,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,4
31,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,19
31,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
31,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
31,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
31,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
31,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
31,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
31,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
31,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
31,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
32,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,19
32,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
32,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
32,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
32,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
32,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
32,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
32,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
32,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
32,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
33,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,19
33,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
33,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
33,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
33,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
33,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
33,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
33,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
33,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
33,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
34,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,20
34,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,8
34,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
34,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
34,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
34,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
34,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
34,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
34,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
34,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
35,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,21
35,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,9
35,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
35,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
35,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
35,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
35,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
35,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
35,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
35,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
36,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,21
36,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,9
36,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
36,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
36,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
36,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
36,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
36,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
36,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
36,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
36,2021,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
37,2021,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,22
37,2021,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,7,9
37,2021,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
37,2021,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
37,2021,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,3,1
37,2021,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
37,2021,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
37,2021,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
37,2021,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
37,2021,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
37,2021,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
37,2021,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,8,7
38,2022,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,22
38,2022,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,10
38,2022,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
38,2022,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
38,2022,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
38,2022,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
38,2022,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
38,2022,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
38,2022,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
38,2022,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
38,2022,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
38,2022,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
39,2022,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,12,22
39,2022,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,10
39,2022,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
39,2022,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
39,2022,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
39,2022,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
39,2022,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
39,2022,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
39,2022,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
39,2022,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
39,2022,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
39,2022,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
39,2022,academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,5,20
40,2022,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,15,23
40,2022,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,11
40,2022,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
40,2022,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
40,2022,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
40,2022,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
40,2022,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
40,2022,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
40,2022,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
40,2022,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
40,2022,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
40,2022,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
40,2022,academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,5,20
41,2022,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,16,23
41,2022,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,11
41,2022,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
41,2022,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
41,2022,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
41,2022,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
41,2022,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
41,2022,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
41,2022,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
41,2022,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
41,2022,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
41,2022,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
41,2022,academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,5,20
42,2023,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,16,23
42,2023,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,11
42,2023,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
42,2023,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
42,2023,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
42,2023,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
42,2023,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
42,2023,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
42,2023,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
42,2023,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
42,2023,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
42,2023,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
42,2023,academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,5,20
42,2023,academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,6,10
42,2023,academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,4,3
43,2023,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,18,24
43,2023,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,12
43,2023,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
43,2023,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
43,2023,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
43,2023,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
43,2023,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
43,2023,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
43,2023,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
43,2023,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
43,2023,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
43,2023,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
43,2023,academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,5,20
43,2023,academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,12,25
43,2023,academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,4,3
44,2023,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,18,24
44,2023,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,12
44,2023,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
44,2023,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
44,2023,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
44,2023,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
44,2023,academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,3,1
44,2023,academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,6,7
44,2023,academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,2,1
44,2023,academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,6,3
44,2023,academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,5,2
44,2023,academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,12,7
44,2023,academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,5,20
44,2023,academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,12,25
44,2023,academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,4,3
45,2023,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,18,25
45,2023,academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,8,12
45,2023,academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,2,8
45,2023,academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,3,2
45,2023,academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,5,2
45,2023,academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,4,3
